Model,MAE,RMSE,MAPE,R²,Median AE,Samples
XGBoost,43403.63293577982,80695.2010068764,20.202453416716533,0.71324668704899,21470.25,218
Ridge,61214.89215596331,114413.7470913235,28.104601414864135,0.42353964221481455,29606.365000000005,218
CatBoost,33318.18610091743,79727.19274239244,14.893818938489451,0.7200851277644322,12804.934999999998,218
