url,price,image_url,type,commission,structure,furnished,size,title_deed,neighborhood,available_from,bedrooms,heating,bathrooms,window_type,year_bult,intercom,renovated,security,cameras,elevator,fireplace,terrace,parking,images,floor
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2253/,"236,250 €",https://www.square.mk/wp-content/uploads/2025/03/IMG_3391.jpg,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Не,95 m2,Да,Козле,Веднаш,3,Струја,2,ПВЦ,2025,Да,Нов,Не,Не,Не,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3402.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3391.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3392.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3402.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3391.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",2
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2253/,"236,250 €",https://www.square.mk/wp-content/uploads/2025/03/IMG_3391.jpg,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Не,95 m2,Да,Козле,Веднаш,3,Струја,2,ПВЦ,2025,Да,Нов,Не,Не,Не,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3402.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3391.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3392.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3402.jpg', 'https://www.square.mk/wp-content/uploads/2025/03/IMG_3391.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",2
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2238/,"135,000 €",https://www.square.mk/wp-content/uploads/2025/02/huge.png,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,77 m2,Да,Џевахир,Веднаш,2,Инвертер,,ПВЦ,2020,Да,Нов,Да,Да,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5626.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5615.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5616.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5626.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5615.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2251/,"90,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_3096-1.jpg,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,50 m2,Да,Ќерамидница,Веднаш,1,Инвертер,1,ПВЦ,2024,Да,Нов,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3106-1.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3096-1.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3097-1.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3106-1.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3096-1.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",4
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2249/,"130,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_3084.jpg,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,62 m2,Да,Џевахир,Веднаш,1,Инвертер,1,ПВЦ,2019,Да,Да,Да,Да,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3093.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3084.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3085.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3093.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_3084.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2247/,"140,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2896.jpg,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Да,72 m2,Да,Кисела Вода,Веднаш,3,Парно,2,ПВЦ,,Да,Да,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2911.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2896.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2897.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2911.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2896.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",Приземје
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2246/,"133,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2944.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Не,66 m2,Да,Кисела Вода,Веднаш,2,Струја,1,ПВЦ,2024,Да,Нов,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2953.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2944.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2945.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2953.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2944.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",4
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2245/,"204,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2916.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,68 m2,Да,Центар,Веднаш,2,Парно,2,ПВЦ,2005,Да,Да,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2928.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2916.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2917.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2928.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2916.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2244/,"162,800 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2750.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Не,88 m2,Да,Центар,Веднаш,2,Парно,1,ПВЦ,2011,Да,Да,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2760.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2750.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2751.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2760.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2750.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",Поткровје
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2243/,"132,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2695.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,66 m2,Да,Кисела Вода,Веднаш,2,Инвертер,1,ПВЦ,2012,Да,2019,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2709.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2695.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2696.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2709.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2695.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",7
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2241/,"290,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2544.jpg,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Не,154 m2,Да,Центар,Веднаш,3,Парно,2,ПВЦ,2001,Да,Да,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2557.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2544.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2545.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2557.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2544.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",1
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2241/,"290,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2544.jpg,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Не,154 m2,Да,Центар,Веднаш,3,Парно,2,ПВЦ,2001,Да,Да,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2557.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2544.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2545.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2557.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2544.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",1
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2206/,"90,000 €",https://www.square.mk/wp-content/uploads/2024/04/huge-2.png,sale,БЕЗ ПРОВИЗИЈА,Двособен,Полунаместен,40 m2,Да,Дебар Маало,Веднаш,1,Парно,1,ПВЦ,2021,Да,Нов,Не,Не,Да,Не,Не,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6763.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6755.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6756.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6763.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6755.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",2
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2240/,"133,300 €",https://www.square.mk/wp-content/uploads/2025/01/IMG_2260.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,62 m2,Да,Дебар Маало,Веднаш,2,Парно,1,ПВЦ,2012,Да,Да,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2271.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2260.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2261.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2271.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2260.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",4
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2239/,"135,000 €",https://www.square.mk/wp-content/uploads/2025/01/huge.png,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,66 m2,Да,Александрија,Веднаш,2,Инвертер,1,ПВЦ,2023,Да,Нов,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2091.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/huge.png', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2080.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_2091.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/huge.png', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",4
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2237/,"345,000 €",https://www.square.mk/wp-content/uploads/2024/10/image001.jpg,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Да,106 m2,Не,Центар,Веднаш,3,Парно,2,ПВЦ,2024,Да,Нов,Да,Да,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/10/image014.jpg', 'https://www.square.mk/wp-content/uploads/2024/10/image001.jpg', 'https://www.square.mk/wp-content/uploads/2024/10/image002.jpg', 'https://www.square.mk/wp-content/uploads/2024/10/image014.jpg', 'https://www.square.mk/wp-content/uploads/2024/10/image001.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2235/,"135,000 €",https://www.square.mk/wp-content/uploads/2024/09/image001-26.jpg,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,47 m2,Да,Тафталиџе,Веднаш,1,Парно,1,ПВЦ,2022,Да,Нов,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/09/image021.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image001-26.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image002-27.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image021.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image001-26.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",6
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2236/,"110,000 €",https://www.square.mk/wp-content/uploads/2024/07/IMG_8079.jpg,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,40 m2,Да,Дебар Маало,Веднаш,1,Парно,1,ПВЦ,2019,Да,Нов,Не,Не,Да,Не,Не,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/07/IMG_8086.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/IMG_8078.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/IMG_8079.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/IMG_8086.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/IMG_8078.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",3
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2233/,"145,000 €",https://www.square.mk/wp-content/uploads/2024/07/image001-37.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,89 m2,Да,Центар,Веднаш,2,Парно,1,Дрво,1990,Да,Делумно,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/07/image014-8.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image001-37.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image002-37.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image014-8.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image001-37.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",5
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2024/,"95,000 €",https://www.square.mk/wp-content/uploads/2024/01/huge.png,sale,БЕЗ ПРОВИЗИЈА,Трособен,По договор,70 m2,Да,Кисела Вода,Веднаш,2,Инвертер,1,ПВЦ,2013,Да,Да,Не,Не,Не,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/01/IMG_7614.jpg', 'https://www.square.mk/wp-content/uploads/2024/01/IMG_7604.jpg', 'https://www.square.mk/wp-content/uploads/2024/01/IMG_7605.jpg', 'https://www.square.mk/wp-content/uploads/2024/01/IMG_7614.jpg', 'https://www.square.mk/wp-content/uploads/2024/01/IMG_7604.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",3
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2205/,"166,500 €",https://www.square.mk/wp-content/uploads/2024/04/huge.png,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Полунаместен,90 m2,Да,Центар,Веднаш,3,Парно,2,ПВЦ,2004,Да,Да,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6575.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6558.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6559.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6575.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6558.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",3
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2205/,"166,500 €",https://www.square.mk/wp-content/uploads/2024/04/huge.png,sale,БЕЗ ПРОВИЗИЈА,Четрисобен,Полунаместен,90 m2,Да,Центар,Веднаш,3,Парно,2,ПВЦ,2004,Да,Да,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6575.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6558.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6559.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6575.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6558.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",3
