url,price,image_url,type,deposit,comission,minimal lease,structure,furnished,size,available_from,neighborhood,heating,bedrooms,window_type,bathrooms,intercom,year_built,security,renovated,cameras,floor,fireplace,elevator,terrace,parking,images
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1713/,600 €,https://www.square.mk/wp-content/uploads/2024/03/IMG_6174.jpg,rent,600 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,47 m2,Веднаш,Џевахир,Парно,1,ПВЦ,1,Да,2023,Да,Нов,Да,16,Не,Да,Не,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6183.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6173.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6174.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6183.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6173.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1713/,600 €,https://www.square.mk/wp-content/uploads/2024/03/IMG_6174.jpg,rent,600 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,47 m2,Веднаш,Џевахир,Парно,1,ПВЦ,1,Да,2023,Да,Нов,Да,16,Не,Да,Не,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6183.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6173.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6174.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6183.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6173.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1728/,600 €,https://www.square.mk/wp-content/uploads/2024/04/IMG_6482.jpg,rent,600 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,47 m2,Веднаш,Џевахир,Парно,1,ПВЦ,1,Да,2023,Да,Нов,Да,11,Не,Да,Не,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6494.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6482.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6483.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6494.jpg', 'https://www.square.mk/wp-content/uploads/2024/04/IMG_6482.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1848/,400 €,https://www.square.mk/wp-content/uploads/2024/07/image001-24.jpg,rent,400 €,БЕЗ ПРОВИЗИЈА,12 месеци,Трособен,Да,74 m2,Веднаш,Тафталиџе,Парно,2,ПВЦ,2,Да,2020,Не,Нов,Не,1,Не,Да,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/07/image011-10.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image001-24.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image002-24.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image011-10.jpg', 'https://www.square.mk/wp-content/uploads/2024/07/image001-24.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1701/,400 €,https://www.square.mk/wp-content/uploads/2024/03/IMG_5994.jpg,rent,400 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,58 m2,Веднаш,Центар,Инвертер,1,ПВЦ,1,Да,2023,Не,Нов,Не,1,Не,Да,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6001.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5993.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5994.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_6001.jpg', 'https://www.square.mk/wp-content/uploads/2024/03/IMG_5993.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/10038/,500 €,https://www.square.mk/wp-content/uploads/2025/01/IMG_1959.jpg,rent,500 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,55 m2,Веднаш,Тафталиџе,Струја,1,ПВЦ,1,Да,2024,Не,Нов,Не,1,Не,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_1970.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_1959.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_1960.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_1970.jpg', 'https://www.square.mk/wp-content/uploads/2025/01/IMG_1959.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1538/,700 €,https://www.square.mk/wp-content/uploads/2023/12/IMG_2751.jpg,rent,700 €,БЕЗ ПРОВИЗИЈА,12 месеци,Трособен,Да,79 m2,Веднаш,Центар,Парно,2,ПВЦ,1,Да,1980,Не,Да,Не,3,Не,Да,Не,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2023/12/IMG_2761.jpg', 'https://www.square.mk/wp-content/uploads/2023/12/IMG_2751.jpg', 'https://www.square.mk/wp-content/uploads/2023/12/IMG_2752.jpg', 'https://www.square.mk/wp-content/uploads/2023/12/IMG_2761.jpg', 'https://www.square.mk/wp-content/uploads/2023/12/IMG_2751.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1305/,480 €,https://www.square.mk/wp-content/uploads/2023/06/1305_WEB_00001.jpg,rent,480 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,50 m2,Веднаш,Центар,Инвертер,1,ПВЦ,1,Да,2018,Не,Нов,Не,3,Не,Да,Не,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2023/06/1305_WEB_00009.jpg', 'https://www.square.mk/wp-content/uploads/2023/06/1305_WEB_00000.jpg', 'https://www.square.mk/wp-content/uploads/2023/06/1305_WEB_00001.jpg', 'https://www.square.mk/wp-content/uploads/2023/06/1305_WEB_00009.jpg', 'https://www.square.mk/wp-content/uploads/2023/06/1305_WEB_00000.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1479/,850 €,https://www.square.mk/wp-content/uploads/2025/08/IMG_5796.jpg,rent,850 €,БЕЗ ПРОВИЗИЈА,12 месеци,Трособен,Да,100 m2,Веднаш,Црниче,Инвертер,2,ПВЦ,2,Да,2012,Не,Да,Не,Приземје,Не,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/08/IMG_5812.jpg', 'https://www.square.mk/wp-content/uploads/2025/08/IMG_5795.jpg', 'https://www.square.mk/wp-content/uploads/2025/08/IMG_5796.jpg', 'https://www.square.mk/wp-content/uploads/2025/08/IMG_5812.jpg', 'https://www.square.mk/wp-content/uploads/2025/08/IMG_5795.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1989/,350 €,https://www.square.mk/wp-content/uploads/2024/11/IMG_1107.jpg,rent,350 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,40 m2,Веднаш,Козле,Инвертер,1,ПВЦ,1,Да,2024,Не,Нов,Не,3,Не,Да,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/11/IMG_1118.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/IMG_1107.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/IMG_1108.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/IMG_1118.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/IMG_1107.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
